"indicator_id","indicator_name"
"CC.ECH.FOS","Emission Totals - Emissions (CH4) - Fires in organic soils"
"CC.ECO.DOC","Emission Totals - Emissions (CO2) - Drained organic soils (CO2)"
"CC.ECO.FOS","Emission Totals - Emissions (CO2) - Fires in organic soils"
"CC.EG.CONS.OIL.PC","Per capita daily oil consumption (barrels per capita per day)"
"CC.EG.SUBF.PC","Fossil-fuel pre-tax subsidies (consumption and production) USD per capita"
"CC.ENA.AGS","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Agricultural Soils"
"CC.ENA.DON","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Drained organic soils (N2O)"
"CC.ENA.SAS","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Manure applied to Soils"
"CC.ENO.AGS","Emission Totals - Emissions (N2O) - Agricultural Soils"
"CC.ENO.DON","Emission Totals - Emissions (N2O) - Drained organic soils (N2O)"
"CC.ENO.SAS","Emission Totals - Emissions (N2O) - Manure applied to Soils"
"CC.ENTX.ENE.ZS","Total energy tax revenue (% of GDP)"
"CC.ENTX.ENV.ZS","Total environmental tax revenue (% of GDP)"
"CC.FGHG.SYS.CS","Food GHG emissions by system stage (Share of total) - Consumption"
"CC.FGHG.SYS.EO","Food GHG emissions by system stage (Share of total) - End_of_Life"
"CC.FGHG.SYS.LU","Food GHG emissions by system stage (Share of total) - LULUC (Production)"
"CC.FGHG.SYS.PC","Food GHG emissions by system stage (Share of total) - Packaging"
"CC.FGHG.SYS.PD","Food GHG emissions by system stage (Share of total) - Production"
"CC.FGHG.SYS.PR","Food GHG emissions by system stage (Share of total) - Processing"
"CC.FGHG.SYS.RE","Food GHG emissions by system stage (Share of total) - Retail"
"CC.FGHG.SYS.TR","Food GHG emissions by system stage (Share of total) - Transport"
"CC.FOOD.ANIM.ZS","Share of animal products in food supply (% of total)"
"CC.FOOD.VEGT.ZS","Share of vegetal products in food supply (% of total)"
"CC.FSU.PECA","Per capita food supply (kcal/cap/day)"
"CC.GAS.PPBC.CN","Gas pipeline capacity by project status (barrels of oil equivalent per day) - Cancelled"
"CC.GAS.PPBC.CO","Gas pipeline capacity by project status (barrels of oil equivalent per day) - Construction"
"CC.GAS.PPBC.ID","Gas pipeline capacity by project status (barrels of oil equivalent per day) - In Development (Proposed + Construction)"
"CC.GAS.PPBC.MB","Gas pipeline capacity by project status (barrels of oil equivalent per day) - Mothballed"
