"indicator_id","indicator_name"
"DP.DOD.DLLO.CR.L1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.L1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.L1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.M1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.M1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.M1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.M1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.M1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
"DP.DOD.DLLO.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, Loans, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.CG.Z1","Gross PSD, Central Gov., All maturities, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.GG.Z1","Gross PSD, General Gov., All maturities, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.L1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.L1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.L1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.L1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.L1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.M1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.M1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.M1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.M1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.M1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLOA.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLSD.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
"DP.DOD.DLSD.CR.CG.Z1","Gross PSD, Central Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
"DP.DOD.DLSD.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
"DP.DOD.DLSD.CR.GG.Z1","Gross PSD, General Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
"DP.DOD.DLSD.CR.M1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
"DP.DOD.DLSD.CR.M1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
"DP.DOD.DLSD.CR.M1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
"DP.DOD.DLSD.CR.M1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
"DP.DOD.DLSD.CR.M1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
"DP.DOD.DLSD.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.CG.Z1","Gross PSD, Central Gov., Long-term, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.FC.Z1","Gross PSD, Financial Public Corp., Long-term, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.GG.Z1","Gross PSD, General Gov., Long-term, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.L1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.L1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.L1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.L1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.L1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.M1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.M1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.M1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.M1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.M1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
"DP.DOD.DLTC.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, All instruments, Nominal Value, % of GDP"
"DP.DOD.DSCD.CR.BC.Z1","Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DSCD.CR.CG.Z1","Gross PSD, Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DSCD.CR.FC.Z1","Gross PSD, Financial Public Corp., Short-term, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DSCD.CR.GG.Z1","Gross PSD, General Gov., Short-term, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DSCD.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., Short-term, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DSDS.CR.BC.Z1","Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DSDS.CR.CG.Z1","Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DSDS.CR.FC.Z1","Gross PSD, Financial Public Corp., Short-term, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DSDS.CR.GG.Z1","Gross PSD, General Gov., Short-term, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DSDS.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., Short-term, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DSIN.CR.BC.Z1","Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DSIN.CR.CG.Z1","Gross PSD, Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DSIN.CR.FC.Z1","Gross PSD, Financial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DSIN.CR.GG.Z1","Gross PSD, General Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DSIN.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DSLO.CR.BC.Z1","Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, % of GDP"
"DP.DOD.DSLO.CR.CG.Z1","Gross PSD, Central Gov., Short-term, Loans, Nominal Value, % of GDP"
"DP.DOD.DSLO.CR.FC.Z1","Gross PSD, Financial Public Corp., Short-term, Loans, Nominal Value, % of GDP"
"DP.DOD.DSLO.CR.GG.Z1","Gross PSD, General Gov., Short-term, Loans, Nominal Value, % of GDP"
"DP.DOD.DSLO.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., Short-term, Loans, Nominal Value, % of GDP"
"DP.DOD.DSOA.CR.BC.Z1","Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DSOA.CR.CG.Z1","Gross PSD, Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DSOA.CR.FC.Z1","Gross PSD, Financial Public Corp., Short-term, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DSOA.CR.GG.Z1","Gross PSD, General Gov., Short-term, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DSOA.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., Short-term, Other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DSTC.CR.BC.Z1","Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, % of GDP"
"DP.DOD.DSTC.CR.CG.Z1","Gross PSD, Central Gov., Short-term, All instruments, Nominal Value, % of GDP"
"DP.DOD.DSTC.CR.FC.Z1","Gross PSD, Financial Public Corp., Short-term, All instruments, Nominal Value, % of GDP"
"DP.DOD.DSTC.CR.GG.Z1","Gross PSD, General Gov., Short-term, All instruments, Nominal Value, % of GDP"
"DP.DOD.DSTC.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., Short-term, All instruments, Nominal Value, % of GDP"
"DPANUSLCU","Official exchange rate, LCU per USD, period average"
"DPANUSSPB","Exchange rate, new LCU per USD extended backward, period average"
"DPANUSSPF","Exchange rate, old LCU per USD extended forward, period average"
"DT.AMD.DLXF.CD","LT Principal due per balance of payments account (BoP, current US$)"
"DT.DOD.ALLC.ZSG","Debt on Concessional terms to GDP (% of GDP)"
"DT.DOD.ALLN.ZSG","Debt on Non-concessional terms to GDP (% of GDP)"
"DT.DOD.DECT.CD.AR.EX.US","Gross Ext. Debt Pos., All Sectors, All maturities, All instruments,  Exchange rate chg, USD"
"DT.DOD.DECT.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, All maturities, All instruments, Exchange rate chg, USD"
"DT.DOD.DECT.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, All maturities, All instruments, Exchange rate chg, USD"
"DT.DOD.DECT.CD.IL.AR.EX.US","Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, Exchange rate chg, USD"
"DT.DOD.DECT.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Exchange rate chg, USD"
"DT.DOD.DECT.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Exchange rate chg, USD"
"DT.DOD.DECT.CD.ZSG","Debt outstanding and disbursed, Total to GDP (% of GDP)"
"DT.DOD.DIDI.CD.IL.EX.US","Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. investors, Exchange rate chg, USD"
"DT.DOD.DIFE.CD.IL.EX.US","Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. to fellow ent., Exchange rate chg, USD"
"DT.DOD.DIIE.CD.IL.EX.US","Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of dir. investors to DI ent., Exchange rate chg, USD"
"DT.DOD.DLBN.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Debt securities, Exchange rate chg, USD"
"DT.DOD.DLBN.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Long-term, Debt securities, Exchange rate chg, USD"
"DT.DOD.DLBN.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Long-term, Debt securities, Exchange rate chg, USD"
"DT.DOD.DLBN.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Long-term, Debt securities, Exchange rate chg, USD"
"DT.DOD.DLCD.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Currency and deposits, Exchange rate chg, USD"
"DT.DOD.DLCD.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Long-term, Currency and deposits, Exchange rate chg, USD"
"DT.DOD.DLCD.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Long-term, Currency and deposits, Exchange rate chg, USD"
"DT.DOD.DLCD.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, Exchange rate chg, USD"
"DT.DOD.DLTL.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, Exchange rate chg, USD"
"DT.DOD.DLTL.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Long-term, Loans, Exchange rate chg, USD"
"DT.DOD.DLTL.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Long-term, Loans, Exchange rate chg, USD"
"DT.DOD.DLTL.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, Exchange rate chg, USD"
"DT.DOD.DLTO.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, Exchange rate chg, USD"
"DT.DOD.DLTO.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, Exchange rate chg, USD"
"DT.DOD.DLTO.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, Exchange rate chg, USD"
"DT.DOD.DLTO.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt liabilities, Exchange rate chg, USD"
"DT.DOD.DLTS.CD.GG.EX.US","Gross Ext. Debt Pos., General Government, Long-term, Special drawing rights (allocations), Exchange rate chg, USD"
"DT.DOD.DLTS.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Long-term, Special drawing rights (allocations), Exchange rate chg, USD"
"DT.DOD.DLTT.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, Exchange rate chg, USD"
"DT.DOD.DLTT.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, Exchange rate chg, USD"
"DT.DOD.DLTT.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, Exchange rate chg, USD"
"DT.DOD.DLTT.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, Exchange rate chg, USD"
"DT.DOD.DLXF.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, All instruments, Exchange rate chg, USD"
"DT.DOD.DLXF.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Long-term, All instruments, Exchange rate chg, USD"
"DT.DOD.DLXF.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, Exchange rate chg, USD"
"DT.DOD.DLXF.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, Exchange rate chg, USD"
"DT.DOD.DSCD.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, Exchange rate chg, USD"
"DT.DOD.DSCD.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, Exchange rate chg, USD"
"DT.DOD.DSCD.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, Exchange rate chg, USD"
"DT.DOD.DSCD.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, Exchange rate chg, USD"
"DT.DOD.DSOO.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Other debt liabilities, Exchange rate chg, USD"
"DT.DOD.DSOO.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Short-term, Other debt liabilities, Exchange rate chg, USD"
"DT.DOD.DSOO.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Short-term, Other debt liabilities, Exchange rate chg, USD"
"DT.DOD.DSOO.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Short-term, Other debt liabilities, Exchange rate chg, USD"
"DT.DOD.DSTC.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, All instruments, Exchange rate chg, USD"
"DT.DOD.DSTC.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Short-term, All instruments, Exchange rate chg, USD"
"DT.DOD.DSTC.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Short-term, All instruments, Exchange rate chg, USD"
"DT.DOD.DSTC.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, Exchange rate chg, USD"
"DT.DOD.DSTC.IR.ZS","Short-term debt (% of total reserves)"
"DT.DOD.DSTL.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, Exchange rate chg, USD"
"DT.DOD.DSTL.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Short-term, Loans, Exchange rate chg, USD"
"DT.DOD.DSTL.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Short-term, Loans, Exchange rate chg, USD"
"DT.DOD.DSTL.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, Exchange rate chg, USD"
"DT.DOD.DSTM.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, Exchange rate chg, USD"
"DT.DOD.DSTM.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Short-term, Debt securities, Exchange rate chg, USD"
"DT.DOD.DSTM.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, Exchange rate chg, USD"
"DT.DOD.DSTM.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, Exchange rate chg, USD"
"DT.DOD.DSTT.CD.CB.AR.EX.US","Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, Exchange rate chg, USD"
"DT.DOD.DSTT.CD.GG.AR.EX.US","Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, Exchange rate chg, USD"
"DT.DOD.DSTT.CD.MA.AR.EX.US","Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, Exchange rate chg, USD"
"DT.DOD.DSTT.CD.OT.AR.EX.US","Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, Exchange rate chg, USD"
"DT.ODA.ALLD.GD.ZS","Net ODA received (% of GDP)"
"DT.ODA.ALLD.XP.ZS","Net ODA received (% of central government expenditure)"
"DT.ODA.ALLD.XPD.ZS","Aid (% of central government expenditures)"
"DT.ODA.DACD.AGPA.FOOD.CD","Gross ODA aid disbursement for developmental food aid/food security assistance, DAC donors total (current US$)"
"DT.ODA.DACD.ZSG","Net ODA received from DAC donors (% of recipient's GDP)"
"DT.ODA.MULT.ZSG","Net ODA received from multilateral donors (% of GDP)"
"DT.ODA.NDAC.ZSG","Net ODA received from non-DAC bilateral donors (% of GDP)"
"DT.ODA.ODAT.GD.ZS","Net ODA received (% of GDP)"
"DT.ODA.ODAT.XP.ZS","Net ODA received (% of central government expense)"
"DT.TDS.DECT.GD.ZS","Total debt service (% of GDP)"
"EE.BOD.FOOD.ZS","Water pollution, food industry (% of total BOD emissions)"
"EG.EGY.PRIM.PP.KD","Energy intensity level of primary energy (MJ/$2021 PPP GDP)"
"EG.EGY.PROD.KT.OE","Energy production (kt of oil equivalent)"
"EG.ELC.FOSL.ZS","Electricity production from oil, gas and coal sources (% of total)"
"EG.ELC.PETR.KH","Electricity production from oil sources (kWh)"
"EG.ELC.PETR.ZS","Electricity production from oil sources (% of total)"
"EG.GDP.PUSE.KO.87","GDP per unit of energy use (1987 US$ per kg of oil equivalent)"
"EG.GDP.PUSE.KO.KD","GDP per unit of energy use (2000 US$ per kg of oil equivalent)"
"EG.GDP.PUSE.KO.PP","GDP per unit of energy use (PPP $ per kg of oil equivalent)"
"EG.GDP.PUSE.KO.PP.KD","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)"
"EG.IMP.TOTL.KT.OE","Energy imports (kt of oil equivalent)"
"EG.USE.COMM.GD.PP.KD","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)"
"EG.USE.COMM.KT.OE","Energy use (kt of oil equivalent)"
"EG.USE.CRNW.KT.OE","Combustible renewables and waste (metric tons of oil equivalent)"
"EG.USE.PCAP.KG.OE","Energy use (kg of oil equivalent per capita)"
"EN.ATM.CO2E.EG.ZS","CO2 intensity (kg per kg of oil equivalent energy use)"
"EN.ATM.CO2E.GDP","CO2 emissions, industrial (kg per 1987 US$ of GDP)"
"EN.ATM.CO2E.KD.87.GD","CO2 emissions, industrial (kg per 1987 US$ of GDP)"
"EN.ATM.CO2E.KD.GD","CO2 emissions (kg per 2010 US$ of GDP)"
"EN.ATM.CO2E.PP.GD","CO2 emissions (kg per PPP $ of GDP)"
"EN.ATM.CO2E.PP.GD.KD","CO2 emissions (kg per 2011 PPP $ of GDP)"
"EN.EGY.PROD.KT.OE","Commercial energy production (kt of oil equivalent)"
"EN.GHG.CO2.LU.OS.MT.CE.AR5","Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e)"
"EN.GHG.CO2.RT.GDP.KD","Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)"
"EN.GHG.CO2.RT.GDP.PP.KD","Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)"
"EN.TDF.COMP","Traditional fuel use (kt of oil equivalent)"
"EP.CPI.1996","Consumer Price Index in 42 cities base 1996"
"EP.CPI.2002","Consumer Price Index in 45 cities base 2002"
"EP.CPI.2007","Consumer Price Index in 66 cities base 2007"
"EP.CPI.2012","Consumer Price Index in 82 cities base 2012"
"EP.CPI.2018","Consumer Price Index in 90 cities base 2018"
"ER.GDP.FWTL.M3.KD","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
"EU.EGY.USES.GDP","GDP per unit of energy use (1987 US$ per kg of oil equivalent)"
"EU.EGY.USES.KG.OE.PC","Commercial energy use (kg of oil equivalent per capita)"
"EU.EGY.USES.KT.OE","Commercial energy use (kt of oil equivalent)"
"FB.DPT.INSU.PC.ZS","Deposit insurance coverage (% of GDP per capita)"
"FB.FCP.BREG.PR.TC.UF","586_Do laws and regulations prohibit or restrict the use in consumer agreements of any term or condition that is unfair, excessively unbalanced or abusive?  _#VHGA_00"
"FB.FCP.INST.CB.PD.MB","429_Are commercial banks required to disclose minimum balance requirements at the shopping and/or pre-contractual stage?_#VGZA_00"
"FB.INC.BNKG.AC.SC.MC","287_Is the ceiling on the minimum balance for savings/current accounts regulated in this country?_#VGTA_01"
"FB.INC.BNKG.AC.SC.MO","289_Are the maximum overdraft penalty or below minimum balance penalty regulated in this country?_#VGTA_03"
"FB.INC.POLI.FI.RE","019_Are requirements, exceptions, tax incentives, or subsidies policies in place to promote financial inclusion?_#VGBA_00"
"FB.INC.POLI.FI.TI","021_Are tax incentive savings schemes in place to promote financial inclusion?_#VGBA_02"
"FD.AST.PRVT.GD.ZS","Domestic credit to private sector by banks (% of GDP)"
"FD.RES.LIQU.AS.ZS","Bank liquid reserves to bank assets ratio (%)"
"fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% persons aged 15 to 29 years with disability i.e. at least a lot of functional difficulty)"
"fdis_al_alot_dfcl_3044","Persons aged 30 to 44 years in food insecure households (% persons aged 30 to 44 years with disability i.e. at least a lot of functional difficulty)"
"fdis_al_alot_dfcl_4564","Persons aged 45 to 64 years in food insecure households (% persons aged 45 to 64 years with disability i.e. at least a lot of functional difficulty)"
"fdis_al_alot_dfcl_65up","Persons aged 65 or older in food insecure households (% persons aged 65 or older with disability i.e. at least a lot of functional difficulty)"
"fdis_al_alot_dfcl_all","Persons in food insecure households (% persons with disability i.e. at least a lot of functional difficulty)"
"fdis_al_alot_dfcl_fem","Female persons in food insecure households (% female persons with disability i.e. at least a lot of functional difficulty)"
"fdis_al_alot_dfcl_male","Male persons in food insecure households (% male persons with disability i.e. at least a lot of functional difficulty)"
"fdis_al_alot_dfcl_rur","Persons living in rural areas in food insecure households (% persons living in rural areas with disability i.e. at least a lot of functional difficulty)"
"fdis_al_alot_dfcl_urb","Persons living in urban areas in food insecure households (% persons living in urban areas with disability i.e. at least a lot of functional difficulty)"
"fdis_any_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% persons aged 15 to 29 years with any degree of functional difficulty)"
"fdis_any_dfcl_3044","Persons aged 30 to 44 years in food insecure households (% persons aged 30 to 44 years with any degree of functional difficulty)"
"fdis_any_dfcl_4564","Persons aged 45 to 64 years in food insecure households (% persons aged 45 to 64 years with any degree of functional difficulty)"
"fdis_any_dfcl_65up","Persons aged 65 or older in food insecure households (% persons aged 65 or older with any degree of functional difficulty)"
"fdis_any_dfcl_all","Persons in food insecure households (% persons with any degree of functional difficulty)"
"fdis_any_dfcl_cogn_all","Persons in food insecure households (% persons with  any degree of cognitive difficulty)"
"fdis_any_dfcl_comm_all","Persons in food insecure households (% persons with any degree of communication difficulty)"
"fdis_any_dfcl_fem","Female persons in food insecure households (% female persons with any degree of functional difficulty)"
"fdis_any_dfcl_hearing_all","Persons in food insecure households (% persons with any degree of hearing difficulty)"
"fdis_any_dfcl_male","Male persons in food insecure households (% male persons with any degree of functional difficulty)"
"fdis_any_dfcl_mobile_all","Persons in food insecure households (% persons with any degree of mobility difficulty)"
"fdis_any_dfcl_rur","Persons living in rural areas in food insecure households (% persons living in rural areas with any degree of functional difficulty)"
"fdis_any_dfcl_seeing_all","Persons in food insecure households (% persons with any degree of seeing difficulty)"
