"flow_id","code","code_name"
"IRFCL","IRFCLDT2_IRFCL26_SM3MUTY_IN_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, More than 3 months and up to 1 year, Inflows"
"IRFCL","IRFCLDT2_IRFCL26_SM3MUTY_IN_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, More than 3 months and up to 1 year, Inflows"
"IRFCL","IRFCLDT2_IRFCL26_SUTM_FO_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, Up to 1 month, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL26_SUTM_FO_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, Up to 1 month, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL26_SUTM_FO_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, Up to 1 month, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL26_SUTM_IN_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, Up to 1 month, Inflows"
"IRFCL","IRFCLDT2_IRFCL26_SUTM_IN_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, principal, Up to 1 month, Inflows"
"IRFCL","IRFCLDT2_IRFCL45_SM1MUT3M_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, More than 1 and up to 3 months"
"IRFCL","IRFCLDT2_IRFCL45_SM1MUT3M_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, More than 1 and up to 3 months"
"IRFCL","IRFCLDT2_IRFCL45_SM3MUTY_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, More than 3 months and up to 1 year"
"IRFCL","IRFCLDT2_IRFCL45_SM3MUTY_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, More than 3 months and up to 1 year"
